ID,MEMBER_TYPE,SCHOOL_NAME,MEMBER_LEVEL
 m201113,기자단 회원,,1
 min923,기자단 회원,성산,1
0,기자단 회원,무거초등,1
00parjjh,기자단 회원,매탕,3
1030345689,기자단 회원,하일초등,1
1032442927,기자단 회원,고성초등학교 ,1
1090319576,기자단 회원,중겨,1
0130smart,기자단 회원,군산금광초등,1
0134song,기자단 회원,석림초등학교,1
0212ayh,기자단 회원,삼숭,1
0227lju,기자단 회원,은평 ,1
02hunnam,기자단 회원,인천신대,3
02ruby,기자단 회원,수원 산남중,1
0312eric,기자단 회원,수원 영화초등학교,1
04ender,기자단 회원,덕동초등,1
0512limjm,기자단 회원,임지민,1
60760,기자단 회원,공세초등,1
0613Love,기자단 회원,서울하늘초,4
706073905,기자단 회원,                                          공세초등,1
070607prtty,기자단 회원,                                          공세초등,1
0706sinthia,기자단 회원,둔촌중,1
0ju0628,기자단 회원,,1
1004hys,기자단 회원,내동,1
1005euchan,기자단 회원,언동초등,1
1015ryujin,기자단 회원,산양,1
1031mjw,기자단 회원,부인중,1
108jooyeon,기자단 회원,,1
1103jju,기자단 회원,한일여자고등학교,1
11jhhomin,기자단 회원,신천,1
11wodhkd,기자단 회원,대야,2
12340914,기자단 회원,안서초등학교,2
1234aa4,기자단 회원,서울청량,2
13021653,기자단 회원,강남초등,1
1535aa,기자단 회원,대흥중학교,1
1shlee,기자단 회원,미원초등,1
2004limjm,기자단 회원,당동,1
2005ku,기자단 회원,언동초등,1
2007syh,기자단 회원,탑산초등,1
205lys,기자단 회원,,1
364sarah,기자단 회원,창원용남,1
528martin,기자단 회원,화개초등,1
6212dbwls,기자단 회원,연북중학교,1
6231asas,기자단 회원,금오,1
74wawa,기자단 회원,,1
7536959,기자단 회원,무주 중앙 초등학교,1
75kikiki,기자단 회원,,1
7611hj,기자단 회원,,1
7696DS,기자단 회원,연양초,1
913sunyoung,기자단 회원,대흥중,2
9521ss,기자단 회원,잠원,1
a0036119,기자단 회원,도남,1
a022465,기자단 회원,이도,1
a0675188,기자단 회원,부설,1
a10086,기자단 회원,소현,3
a101010,기자단 회원,용흥,1
a105121,기자단 회원,전주 효림,1
a11000,기자단 회원,신제주,1
a11064321,기자단 회원,전주 오송,5
a134679,기자단 회원,송천,1
a13823446,기자단 회원,제일,1
a14088,기자단 회원,인천계양,1
a1472580,기자단 회원,용와,1
a147258369,기자단 회원,용흥,1
a147369,기자단 회원,용흥,1
a20131314,기자단 회원,교대부설,1
a2253123,기자단 회원,아라,1
a3838486,기자단 회원,중일,1
a394578,기자단 회원,동화,1
a4152637,기자단 회원,신선,1
a4786a,기자단 회원,석천초,1
a5699e,기자단 회원,도남,1
a66007kimminha,기자단 회원,신주초등학교,1
a80124,기자단 회원,한백,1
a89912,기자단 회원,동홍,1
a93743013,기자단 회원,해림,1
a971047,기자단 회원,동수원초등,1
aa0102ace,기자단 회원,백문,1
aa636699,기자단 회원,창천,1
aa8562,기자단 회원,남광초등,1
aaa11111,기자단 회원,,1
aaaaaa111111,기자단 회원,덕이초등학교,1
aabbcc11,기자단 회원,초등학교,1
aanoon,기자단 회원,효천초등,1
aarongstone,기자단 회원,한려,1
aarr7272,기자단 회원,율곡,3
aarr7373,기자단 회원,광주율곡,2
aas06077,기자단 회원,세종수왕초6학년1반,1
aas060778,기자단 회원,세종수왕초,1
aazz1435,기자단 회원,신천,1
ab12345,기자단 회원,신제주,1
ab123456,기자단 회원,장성,1
ab33699455,기자단 회원,백록,1
abc0829abc,기자단 회원,숭덕초등,1
abcd1016,기자단 회원,선일,1
abigail,기자단 회원,수지중학교,3
aboab1,기자단 회원,거여초등학교,1
abullae,기자단 회원,칠보초등,1
abus1494,기자단 회원,용마초등학교,1
abvisil,기자단 회원,진흥초등,1
ace22trgmailco,기자단 회원,서울장충초등학교,1
acekds03,기자단 회원,길음중,1
acfg0308,기자단 회원,대전상대,1
achim52,기자단 회원,강동초등학교,1
achoho44,기자단 회원,군포대야초등학교,1
acw8485,기자단 회원,대구고산,1
adamkim9,기자단 회원,성신초등학교,1
adamsara1010,기자단 회원,방배초등학교,1
adella,기자단 회원,서울 원촌,4
adella0319,기자단 회원,서울원촌,1
adft0305,기자단 회원,문기,3
adh2498,기자단 회원,황지,1
adi9510,기자단 회원,동암,1
adsunny,기자단 회원,,1
adthefirst,기자단 회원,해운대여자중,1
advoit01,기자단 회원,제주중앙여자,1
aelice99,기자단 회원,성남미금초등학교,1
aesuk32,기자단 회원,신촌,1
ag1128,기자단 회원,,1
agajaja1,기자단 회원,연희,1
agajaja2,기자단 회원,북가좌,1
agajaja3,기자단 회원,북가좌,1
agape555,기자단 회원,신상도,1
age2006jung,기자단 회원,대구호산,1
agibabo,기자단 회원,서울돈암,1
agneljij,기자단 회원,부산국제,1
agns72,기자단 회원,평촌,1
ahaha1002,기자단 회원,돈암,1
ahcheem0310,기자단 회원,서울세종고등,6
ahdtlf75,기자단 회원,서원주초등학교,1
ahinn0214,기자단 회원,청원,1
ahm7979,기자단 회원,용인흥덕초등,1
ahnhyuntae,기자단 회원,신길중학교,3
ahnhyuntae1,기자단 회원,신길중,1
ahnria,기자단 회원,서울명덕초등학교,1
ahnsophia,기자단 회원,,1
ahnyejun,기자단 회원,동광,1
ahsj1963,기자단 회원,문기,1
ahyun0519,기자단 회원,매곡,1
aiden04,기자단 회원,서울삼육,1
aiden0614,기자단 회원,백록,1
aiden1214,기자단 회원,동광초등학교,2
aiden328,기자단 회원,잠일,5
ain0610,기자단 회원,학성초등,1
aiy0830,기자단 회원,예림초등,1
aj981010,기자단 회원,현대,1
aja6973,기자단 회원,주엽초,1
ajaja7770,기자단 회원,화중,1
ajh1227,기자단 회원,대구대진,3
aji0104,기자단 회원,전주한들,1
ajiman,기자단 회원,삼성,1
ajka28,기자단 회원,하윤아,1
ak7676,기자단 회원,서래,1
akalstj,기자단 회원,오륙도,1
akea1027,기자단 회원,서울잠일,1
ala000,기자단 회원,신광,1
alaala1004,기자단 회원,,1
alana08,기자단 회원,서울역촌초,1
albart123,기자단 회원,옥동초등학교,1
albert10000,기자단 회원,인천창신초등학교,1
albert2016,기자단 회원,푸른,1
albertop,기자단 회원,한밭,1
alex0302,기자단 회원,사립,1
alex0307,기자단 회원,상현초등학교,1
alex0316,기자단 회원,풍양,1
alex1049,기자단 회원,,1
alex1108,기자단 회원,상현초등학교,1
alex2729,기자단 회원,솔밭초등학교,1
alex39,기자단 회원,갈뫼초등학교,2
alex806,기자단 회원,양산성산,4
alexhan0302,기자단 회원,성남정자초등학교,2
alexkim1216,기자단 회원,인천해송,1
alexkim7,기자단 회원,행남,1
alexkwj,기자단 회원,보인고등학교,4
alexlee510,기자단 회원,이대부초,2
alexoh,기자단 회원,,1
alexsong,기자단 회원,서울 언북,1
alexsu,기자단 회원,을지,1
alexyoon0412,기자단 회원,용인초등,1
alf0925,기자단 회원,인화,1
alf8118,기자단 회원,인화,1
alfladl555,기자단 회원,시흥신천중학교,1
alfred1010,기자단 회원,창원상남,1
algae7709,기자단 회원,우솔,1
alias0726,기자단 회원,초림초등학교,1
alice0308,기자단 회원,언북,1
alice0707,기자단 회원,대구봉무초등학교,1
alice1948,기자단 회원,성남장안초등학교,4
alice2007,기자단 회원,대구봉무,2
alice5093,기자단 회원,석우초등학교,1
aliceinnest,기자단 회원,장호원초등학교,1
alicekms,기자단 회원,서울신천초등학교,1
aliceksh,기자단 회원,서울신가초등학교,1
alicelee1948,기자단 회원,성남장안초등학교,1
alive1020,기자단 회원,서울가동,1
allan,기자단 회원,서울경동,2
allan0624,기자단 회원,서울경동,1
alleyoop,기자단 회원,,1
ally6486,기자단 회원,매동초등학교/2학년,1
alsdk9999,기자단 회원,노형,1
alsgur1,기자단 회원,전주여울초,1
alsobe,기자단 회원,대치초등,1
alsqja1020,기자단 회원,삼화,1
alsrb1012,기자단 회원,동화,1
